SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistName,Danceability,Duration,Tempo,Title,Year, ArtistHotttnesss, SongHotttnesss
1,"SOOWVUN12AB0185435",470991,"Beladi","AR5S26K1187B9A3141","Chantal Chamandy",0.0,256.15628,84.96,"Zindegi",0,0.315025710378856,0
2,"SOHWHZJ12A58A79FA8",356024,"Kaskaad - Mohawk Hunt / Earuption","ARMATAK1264D13AC27","Kaskaad",0.0,414.9024,87.507,"Mohawk Hunt",0,0.22021045009183346,0
3,"SOVWTKI12A58A789B6",257644,"The Best Of Ivan Parker","AR9UT8H1187B9AF504","Ivan Parker",0.0,207.90812,91.964,"Then He Said_ "Sing",0,0.3110970495237888,0.278598087332016
4,"SOQEKJO12AB0188E78",509775,"Todos Cantamos Con Maria Elena","ARFILWJ1187B9ADDBF","María Elena Walsh",0.0,150.09914,131.552,"La Mona Jacinta",2000,0.2570629202962798,0
5,"SOQUGNH12A6D4FBB0E",64577,"Genesis And Job","ARLQ5EV1187FB4491D","Don Francisco",0.0,311.2224,68.537,"Overture (Genesis & Job)",0,0.3722985729468398,0.0
6,"SOLHMRA12A8C13234A",242839,"Let The Movie Begin","ARKZXSQ1187B9AC9F3","Joy Division",0.0,141.08689,150.04,"Leaders Of Men",1978,0.5762946511398908,0
7,"SOEEPYY12A58A7B1C8",21585,"Boomerang","ARKZNO81187FB37FBA","Daara J",0.0,261.61587,91.005,"Le Precipice",0,0.30073460390237744,0.319565986882865
8,"SOPHKAI12AB018873D",818763,"I'm Still Here","ARZL6CE1187FB3F264","Mindy McCready",0.0,231.83628,100.881,"Ten Thousand Angels",1996,0.4318827563379648,0
9,"SOPHMRL12AB017E87B",401052,"Not Without A Fight","ARH9HS41187FB5BC6F","New Found Glory",0.0,208.27383,192.07,"Don't Let Her Pull You Down",2009,0.5482282091918806,0.6631939677740828
10,"SOVZNGE12AAF3B1E2A",322043,"Rhythm & Blues Vol 9","ARD4LQ61187FB470F1","Little Willie John",0.0,147.25179,105.653,"Leave My Kitten Alone",1991,0.3509282709771781,0.46048484498641545
11,"SOPGYHQ12A8AE47B30",278700,"Lovers Rock","AR7N7MI1187FB46935","Sade",0.0,160.62649,161.991,"All About Our Love",2000,0.5173422859533258,0.6406882807726302
12,"SOXNPLV12A8C1431C3",470414,"Say Goodbye To The Camera","ARW2Y3Q1187FB38020","The Sterns",0.0,162.82077,188.481,"Second Chance",0,0.367464833037383,0
13,"SOOIAGM12AB01862C7",762480,"Owsley","ARPGYM11187FB4B1E1","Owsley",0.0,348.02893,95.787,"Class Clown/Good Old Days (Reprise)",1999,0.3804946211294025,0.0
14,"SONQTUE12B0B80BA5A",15535,"Home","AR97V5X1187FB4AE98","Deep Blue Something",0.0,199.3922,158.244,"Gammer Gerten's Needle",1995,0.4097293787891668,0
15,"SOGOSEE12A58A78241",230932,"Fiesta Tradicional Colombiana","AR6BYC41187B996DD0","Pedro Laza Y Sus Pelayeros",0.0,157.93587,83.469,"La Panadera",0,0.28726019379837814,0
16,"SOQZCBF12AB018644D",379517,"Spanning A Lifetime","AR243ZT1187B9A98D2","Otis Spann",0.0,298.55302,89.518,"Monkey Faced Woman",0,0.36868937254805195,0.0
17,"SOKUIMB12A6D4F8AC6",23964,"Alias","ARHG53Q1187B9ACBFC","Alias",0.0,274.15465,140.449,"Standing In The Darkness",0,0.4230219215750594,0.34580223396532944
18,"SOMLVRX12AB0189DCE",715143,"Before & After","AR6C6VO1187FB4E267","Tora Tora",0.0,248.16281,110.494,"That's Not the Way Love's Supposed to Be",0,0.36982344721963717,0.30017262572415554
19,"SOYYBIA12A8C13894D",244326,"Get Up and Dance - the Best of","AR08YJF1187B9B2D59","Freedom",0.0,245.49832,163.136,"Caught - Special Way",0,0.31311203183458997,0
20,"SONZEZC12A8C14580B",479760,"Crashing Gates","ARRSIQ11187B98F216","Kevin Max",0.0,219.01016,88.002,"Baby_ I'm Your Man",2008,0.39274731080277514,0.595926916265944
21,"SOODKXT12AB01838B6",575275,"Chapter One .. A Decade","AR1DLF21187FB3CBF0","4Him",0.0,270.28853,120.077,"Strange Way To Save The World",2000,0.44859380261178367,0
22,"SOAYONI12A6D4F85C8",41649,"Collection","AR9JLBU1187B9AAEC4","Danny Williams",0.0,168.01914,77.072,"The Wonderful World Of The Young",1998,0.40977899776259186,0.3347065490692206
23,"SOFAOMI12A6D4FA2D8",64501,"Once Upon A Shattered Life","ARYXOV81187B99831D","Seventh Day Slumber",0.0,209.73669,150.575,"Shattered Life",2005,0.5092430986786269,0.7803116042518864
24,"SOJARSR12AB0184939",637025,"Gift Grub 10","AROIHOI122988FEB8E","Mario Rosenstock",0.0,187.14077,90.05,"Munster Song (Best of 2009)",0,0.04903438084848781,0
25,"SOVMTAW12A8C13B071",597439,"Praise God I'm Satisfied","ARDK0551187FB5AC48","Blind Willie Johnson",0.0,172.25098,95.677,"God Don't Never Change",1989,0.4011447414777875,0
26,"SOILDRV12A8C13EB77",171957,"The Sporting Life","ARUUP4L1187B9B72EB","Diamanda Galas",0.0,162.95138,162.133,"Dark End Of The Street",0,0.36368783982733144,0.3231121208952123
27,"SOJZLAJ12AB017E8A2",346402,"Reality","ARS1DCR1187B9A4A56","Winston Reedy",0.0,193.72363,118.123,"Sentimental Man",0,0.2899029316087479,0
28,"SOQSJJL12AC46874BC",780921,"111","AR0ILWV1187FB47CAA","Mouth Of The Architect",0.0,475.21914,124.562,"Harboring An Apparition",2006,0.4690559757440672,0.6909709542805956
29,"SORZSCJ12A8C132446",86259,"Nouveau Zydeco","ARAGMIV11F4C843F78","Myrick "Freeze" Guillory",0.0,300.82567,137.663,"Zydeco In D-Minor",0,0.2168288859860431,0.0
30,"SOBUUYV12A58A7DA27",149791,"Return Of The Guardians","ARI4S0E1187B9B06C0","David Arkenstone",0.0,314.5922,141.975,"The Forgotten Lands",1996,0.43094204343555065,0.3603705827121406
31,"SOFOBSK12A8C1447C4",479604,"Sirens","ARJGQJD1187B997A00","It Dies Today",0.0,179.40853,98.377,"One the road (to Damnation)",2006,0.5115767829276756,0
