Score-ordered Index,Query Size
141.100,2
101.425,3
81.550,4
69.625,5
61.750,6
56.050,7
51.775,8
48.475,9
45.850,10
43.675,11
41.875,12
40.375,13
39.025,14
37.900,15
36.925,16
36.025,17
35.275,18
34.600,19
33.925,20
33.400,21
32.875,22
32.425,23
31.975,24
31.525,25
31.225,26
30.850,27
30.550,28
30.250,29
29.950,30
29.725,31
29.500,32
29.275,33
29.050,34
28.825,35
28.675,36
28.450,37
28.300,38
28.150,39
28.000,40
27.850,41
27.700,42
27.550,43
27.475,44
27.325,45
27.250,46
27.100,47
27.025,48
26.875,49
26.800,50
26.725,51
26.650,52
26.500,53
26.425,54
26.350,55
26.275,56
26.200,57
26.125,58
26.050,59
25.975,60
25.975,61
25.900,62
25.825,63
25.750,64
25.675,65
25.675,66
25.600,67
25.525,68
25.525,69
25.450,70
25.375,71
25.375,72
25.300,73
25.225,74
25.225,75
25.150,76
25.150,77
25.075,78
25.075,79
25.000,80
25.000,81
24.925,82
24.925,83
24.850,84
24.850,85
24.775,86
24.775,87
24.775,88
24.700,89
24.700,90
24.625,91
24.625,92
24.625,93
24.550,94
24.550,95
24.550,96
24.475,97
24.475,98
24.475,99
24.400,100
24.400,101
24.400,102
24.325,103
24.325,104
24.325,105
24.250,106
24.250,107
24.250,108
24.250,109
24.175,110
24.175,111
24.175,112
24.175,113
24.100,114
24.100,115
24.100,116
24.100,117
24.025,118
24.025,119
24.025,120
24.025,121
24.025,122
23.950,123
23.950,124
23.950,125
23.950,126
23.875,127
23.875,128
23.875,129
23.875,130
23.875,131
23.875,132
23.800,133
23.800,134
23.800,135
23.800,136
23.800,137
23.800,138
23.725,139
23.725,140
23.725,141
23.725,142
23.725,143
23.725,144
23.650,145
23.650,146
23.650,147
23.650,148
23.650,149
23.650,150
23.650,151
23.575,152
23.575,153
23.575,154
23.575,155
23.575,156
23.575,157
23.575,158
23.500,159
23.500,160
23.500,161
23.500,162
23.500,163
23.500,164
23.500,165
23.500,166
23.500,167
23.425,168
23.425,169
23.425,170
23.425,171
23.425,172
23.425,173
