Combined Index,Query Size
020.996,2
025.700,3
020.806,4
020.676,5
021.945,6
022.756,7
023.521,8
020.890,9
024.955,10
022.490,11
023.362,12
022.523,13
020.827,14
022.382,15
022.678,16
022.013,17
022.319,18
020.834,19
022.400,20
023.389,21
023.402,22
021.060,23
022.907,24
022.067,25
021.942,26
023.168,27
022.450,28
023.731,29
023.349,30
021.025,31
023.230,32
021.629,33
020.857,34
020.978,35
023.357,36
020.883,37
023.500,38
021.304,39
021.850,40
023.307,41
022.419,42
021.310,43
022.235,44
022.091,45
020.901,46
020.711,47
021.738,48
021.189,49
021.636,50
022.489,51
022.542,52
021.905,53
022.598,54
020.706,55
020.496,56
022.165,57
021.055,58
021.343,59
021.052,60
023.575,61
022.515,62
030.109,63
030.131,64
030.233,65
030.935,66
028.628,67
027.996,68
030.280,69
029.625,70
031.853,71
029.153,72
028.575,73
028.975,74
028.261,75
032.104,76
026.099,77
028.899,78
030.571,79
028.792,80
027.054,81
029.512,82
029.642,83
029.206,84
028.185,85
026.643,86
029.925,87
029.297,88
029.706,89
028.796,90
027.235,91
029.353,92
027.861,93
028.820,94
030.596,95
026.172,96
029.157,97
026.425,98
025.930,99
029.260,100
026.376,101
027.121,102
028.564,103
026.899,104
025.803,105
030.860,106
026.556,107
028.724,108
028.419,109
027.009,110
027.087,111
026.716,112
028.275,113
026.172,114
025.496,115
026.348,116
028.931,117
026.932,118
027.732,119
027.664,120
025.640,121
027.609,122
028.240,123
025.371,124
027.035,125
026.300,126
025.017,127
028.983,128
028.005,129
025.620,130
028.233,131
026.110,132
024.986,133
027.017,134
025.719,135
025.928,136
026.527,137
026.065,138
026.036,139
026.336,140
025.333,141
026.453,142
026.708,143
025.237,144
026.802,145
024.608,146
025.287,147
025.873,148
026.506,149
030.529,150
025.810,151
026.354,152
025.628,153
027.050,154
024.601,155
025.492,156
026.181,157
024.361,158
026.071,159
026.333,160
025.062,161
027.384,162
025.218,163
024.803,164
026.062,165
026.008,166
025.870,167
027.077,168
026.774,169
024.625,170
027.064,171
024.279,172
025.347,173
028.038,174
026.594,175
026.234,176
025.155,177
025.317,178
024.422,179
025.573,180
026.230,181
026.458,182
025.341,183
025.338,184
025.528,185
026.010,186
026.206,187
025.817,188
025.284,189
024.978,190
026.648,191
024.585,192
025.064,193
028.157,194
024.457,195
025.687,196
028.390,197
027.296,198
026.640,199
025.817,200
025.860,201
025.636,202
025.673,203
023.933,204
025.474,205
025.922,206
024.716,207
026.993,208
027.043,209
028.020,210
029.238,211
025.672,212
025.347,213
026.405,214
024.489,215
026.038,216
025.889,217
024.606,218
026.492,219
026.526,220
024.556,221
029.436,222
025.834,223
026.677,224
028.264,225
026.283,226
025.249,227
027.791,228
025.816,229
024.354,230
026.921,231
024.748,232
026.568,233
026.257,234
024.205,235
024.268,236
024.720,237
024.342,238
025.121,239
026.279,240
025.195,241
023.585,242
025.742,243
025.586,244
026.780,245
026.405,246
024.852,247
025.141,248
024.281,249
025.562,250
025.703,251
023.996,252
024.490,253
023.739,254
024.678,255
025.651,256
028.118,257
024.482,258
025.310,259
027.907,260
024.737,261
024.374,262
027.696,263
025.021,264
025.274,265
027.364,266
024.900,267
025.766,268
024.853,269
024.754,270
027.198,271
027.574,272
025.275,273
026.602,274
025.801,275
026.133,276
024.882,277
023.589,278
026.318,279
025.234,280
024.883,281
025.293,282
026.187,283
025.302,284
025.692,285
025.279,286
024.549,287
024.323,288
027.965,289
025.437,290
025.743,291
026.991,292
024.726,293
026.392,294
026.612,295
024.859,296
024.322,297
025.836,298
024.623,299
025.947,300
025.740,301
024.462,302
025.335,303
026.745,304
025.442,305
027.835,306
029.944,307
027.529,308
026.583,309
024.489,310
025.361,311
027.248,312
027.853,313
027.913,314
027.588,315
028.663,316
028.639,317
026.641,318
026.602,319
029.375,320
027.241,321
029.163,322
026.432,323
026.402,324
028.965,325
027.635,326
024.338,327
026.160,328
024.759,329
024.266,330
026.122,331
024.515,332
024.374,333
026.479,334
024.599,335
026.532,336
026.907,337
027.045,338
024.301,339
026.428,340
026.236,341
025.689,342
025.137,343
024.807,344
027.737,345
027.942,346
026.428,347
026.715,348
027.313,349
024.582,350
025.953,351
024.934,352
025.680,353
025.455,354
026.172,355
024.602,356
028.580,357
